iter	Passed	Remaining
449	17293	21136
450	17334	21101
451	17379	21070
452	17417	21031
453	17466	21006
454	17511	20975
455	17551	20939
456	17599	20911
457	17641	20877
458	17671	20828
459	17710	20790
460	17746	20748
461	17784	20710
462	17827	20676
463	17876	20649
464	17932	20631
465	17961	20581
466	17994	20537
467	18034	20500
468	18072	20461
469	18111	20423
470	18148	20383
471	18188	20346
472	18227	20308
473	18264	20267
474	18302	20229
475	18339	20188
476	18367	20138
477	18406	20100
478	18443	20061
479	18482	20022
480	18520	19983
481	18557	19944
482	18594	19903
483	18630	19862
484	18668	19822
485	18708	19786
486	18744	19745
487	18784	19708
488	18823	19670
489	18864	19634
490	18904	19598
491	18943	19559
492	18980	19519
493	19023	19485
494	19061	19446
495	19099	19407
496	19136	19367
497	19175	19329
498	19210	19287
499	19247	19247
500	19275	19198
501	19314	19160
502	19350	19119
503	19385	19078
504	19423	19038
505	19462	19001
506	19503	18964
507	19542	18926
508	19580	18887
509	19620	18850
510	19657	18810
511	19696	18773
512	19726	18726
513	19763	18687
514	19803	18650
515	19840	18610
516	19878	18571
517	19918	18534
518	19956	18495
519	19998	18460
520	20041	18426
521	20088	18395
522	20135	18364
523	20186	18337
524	20244	18316
525	20290	18284
526	20342	18257
527	20399	18235
528	20440	18199
529	20477	18159
530	20513	18118
531	20547	18075
532	20583	18034
533	20623	17997
534	20661	17958
535	20697	17917
536	20735	17878
537	20769	17835
538	20810	17798
539	20847	17758
540	20883	17718
541	20920	17677
542	20955	17636
543	20990	17595
544	21027	17555
545	21064	17515
546	21100	17474
547	21136	17433
548	21176	17396
549	21219	17361
550	21254	17319
551	21298	17285
552	21338	17248
553	21365	17200
554	21396	17156
555	21434	17116
556	21473	17078
557	21513	17041
558	21555	17005
559	21592	16965
560	21626	16923
561	21658	16879
562	21694	16839
563	21732	16800
564	21770	16761
565	21808	16722
566	21844	16681
567	21876	16638
568	21913	16598
569	21950	16559
570	21989	16520
571	22028	16483
572	22068	16445
573	22108	16408
574	22145	16368
575	22185	16330
576	22222	16291
577	22261	16253
578	22302	16216
579	22348	16183
580	22393	16149
581	22433	16112
582	22467	16070
583	22503	16030
584	22544	15993
585	22581	15953
586	22619	15914
587	22651	15871
588	22687	15831
589	22722	15790
590	22762	15752
591	22801	15714
592	22841	15676
593	22879	15638
594	22919	15600
595	22955	15560
596	22992	15521
597	23031	15482
598	23067	15442
599	23104	15403
600	23143	15364
601	23180	15325
602	23218	15286
603	23257	15248
604	23296	15209
605	23335	15171
606	23372	15132
607	23411	15094
608	23463	15064
609	23524	15040
610	23589	15018
611	23635	14984
612	23678	14948
613	23716	14910
614	23754	14870
615	23791	14831
616	23828	14791
617	23871	14755
618	23907	14715
619	23940	14673
620	23999	14647
621	24056	14619
622	24105	14586
623	24151	14552
624	24198	14519
625	24232	14477
626	24269	14437
627	24307	14398
628	24344	14359
629	24379	14318
630	24414	14277
631	24452	14238
632	24493	14200
633	24534	14163
634	24574	14125
635	24616	14088
636	24652	14048
637	24686	14007
638	24721	13966
639	24756	13925
640	24791	13885
641	24831	13847
642	24875	13810
643	24916	13773
644	24983	13750
645	25025	13713
646	25062	13674
647	25101	13635
648	25139	13596
649	25176	13556
650	25215	13518
651	25259	13482
652	25296	13442
653	25336	13404
654	25373	13364
655	25412	13325
656	25453	13288
657	25491	13249
658	25533	13212
659	25580	13178
660	25631	13145
661	25685	13114
662	25726	13076
663	25764	13037
664	25805	12999
665	25842	12960
666	25881	12921
667	25919	12881
668	25960	12844
669	26013	12812
670	26061	12778
671	26110	12744
672	26149	12705
673	26192	12668
674	26252	12640
675	26296	12603
676	26345	12569
677	26388	12532
678	26429	12494
679	26468	12455
680	26508	12417
681	26553	12381
682	26598	12345
683	26640	12307
684	26675	12266
685	26719	12230
686	26766	12194
687	26808	12157
688	26848	12118
689	26891	12081
690	26932	12043
691	26977	12007
692	27023	11971
693	27064	11933
694	27101	11893
695	27140	11854
696	27180	11815
697	27219	11777
698	27258	11737
699	27298	11699
700	27337	11660
701	27373	11620
702	27413	11581
703	27452	11542
704	27491	11503
705	27531	11464
706	27572	11426
707	27612	11388
708	27651	11349
709	27692	11311
710	27734	11273
711	27775	11235
712	27816	11196
713	27856	11158
714	27897	11119
715	27937	11081
716	27978	11043
717	28020	11005
718	28067	10969
719	28108	10931
720	28151	10893
721	28198	10857
722	28237	10818
723	28278	10780
724	28324	10743
725	28365	10705
726	28407	10667
727	28449	10629
728	28496	10593
729	28539	10555
730	28579	10517
731	28619	10478
732	28660	10439
733	28699	10400
734	28735	10360
735	28774	10321
736	28811	10281
737	28847	10241
738	28886	10202
739	28929	10164
740	28971	10126
741	29018	10090
742	29064	10053
743	29105	10014
744	29147	9976
745	29190	9938
746	29239	9903
747	29279	9864
748	29322	9826
749	29362	9787
750	29404	9749
751	29449	9711
752	29489	9673
753	29530	9634
754	29573	9596
755	29617	9559
756	29656	9519
757	29700	9482
758	29742	9443
759	29782	9405
760	29824	9366
761	29872	9330
762	29920	9293
763	29963	9255
764	30008	9218
765	30051	9180
766	30096	9142
767	30140	9104
768	30183	9066
769	30225	9028
770	30265	8989
771	30309	8951
772	30354	8913
773	30399	8876
774	30438	8836
775	30493	8802
776	30536	8764
777	30576	8724
778	30622	8687
779	30660	8647
780	30707	8610
781	30751	8572
782	30792	8533
783	30831	8494
784	30873	8455
785	30914	8416
786	30956	8378
787	31003	8340
788	31046	8302
789	31088	8264
790	31130	8225
791	31171	8186
792	31220	8149
793	31262	8111
794	31302	8071
795	31346	8033
796	31386	7994
797	31426	7955
798	31472	7917
799	31514	7878
800	31557	7840
801	31595	7800
802	31635	7761
803	31677	7722
804	31714	7682
805	31753	7642
806	31793	7603
807	31831	7563
808	31864	7523
809	31904	7483
810	31944	7444
811	31983	7405
812	32025	7366
813	32063	7326
814	32102	7287
815	32141	7247
816	32180	7208
817	32219	7168
818	32256	7128
819	32294	7088
820	32332	7049
821	32371	7009
822	32408	6969
823	32450	6931
824	32491	6892
825	32529	6852
826	32568	6812
827	32610	6774
828	32651	6735
829	32691	6695
830	32728	6655
831	32766	6616
832	32803	6576
833	32847	6537
834	32894	6500
835	32933	6460
836	32974	6421
837	33016	6382
838	33063	6344
839	33105	6305
840	33153	6268
841	33196	6229
842	33239	6190
843	33282	6151
844	33327	6113
845	33370	6074
846	33416	6036
847	33463	5998
848	33511	5960
849	33557	5921
850	33604	5883
851	33642	5844
852	33685	5805
853	33725	5765
854	33763	5725
855	33803	5686
856	33842	5646
857	33881	5607
858	33921	5567
859	33956	5527
860	33997	5488
861	34040	5449
862	34082	5410
863	34122	5371
864	34163	5331
865	34202	5292
866	34238	5252
867	34274	5212
868	34311	5172
869	34349	5132
870	34386	5092
871	34424	5053
872	34462	5013
873	34505	4974
874	34544	4934
875	34582	4895
876	34621	4855
877	34663	4816
878	34699	4776
879	34740	4737
880	34777	4697
881	34815	4657
882	34853	4618
883	34890	4578
884	34925	4538
885	34964	4498
886	35005	4459
887	35046	4420
888	35085	4380
889	35125	4341
890	35164	4301
891	35203	4262
892	35243	4222
893	35282	4183
894	35320	4143
895	35357	4104
896	35394	4064
897	35433	4024
898	35475	3985
899	35518	3946
900	35555	3906
901	35589	3866
902	35625	3826
903	35663	3787
904	35700	3747
905	35735	3707
906	35772	3667
907	35815	3628
908	35851	3589
909	35888	3549
910	35925	3509
911	35962	3470
912	36002	3430
913	36038	3390
914	36080	3351
915	36119	3312
916	36158	3272
917	36202	3233
918	36242	3194
919	36287	3155
920	36334	3116
921	36371	3076
922	36412	3037
923	36454	2998
924	36494	2959
925	36539	2920
926	36583	2880
927	36625	2841
928	36665	2802
929	36708	2763
930	36751	2723
931	36787	2684
932	36825	2644
933	36864	2605
934	36902	2565
935	36939	2525
936	36975	2486
937	37017	2446
938	37057	2407
939	37099	2368
940	37139	2328
941	37179	2289
942	37218	2249
943	37257	2210
944	37296	2170
945	37338	2131
946	37378	2091
947	37420	2052
948	37461	2013
949	37501	1973
950	37541	1934
951	37581	1894
952	37621	1855
953	37661	1815
954	37704	1776
955	37741	1737
956	37782	1697
957	37821	1658
958	37861	1618
959	37899	1579
960	37938	1539
961	37978	1500
962	38018	1460
963	38058	1421
964	38091	1381
965	38129	1342
966	38167	1302
967	38206	1263
968	38244	1223
969	38282	1183
970	38319	1144
971	38362	1105
972	38402	1065
973	38442	1026
974	38481	986
975	38519	947
976	38558	907
977	38598	868
978	38635	828
979	38674	789
980	38712	749
981	38753	710
982	38788	670
983	38825	631
984	38864	591
985	38902	552
986	38940	512
987	38979	473
988	39020	433
989	39059	394
990	39093	355
991	39131	315
992	39170	276
993	39210	236
994	39250	197
995	39288	157
996	39333	118
997	39385	78
998	39419	39
999	39458	0
