iter	Logloss
0	0.6807462506
1	0.6696765658
2	0.6570618834
3	0.6451198102
4	0.6357694537
5	0.626880545
6	0.6175250382
7	0.6096048151
8	0.6000603492
9	0.5905730557
10	0.5830927705
11	0.575290095
12	0.5695692582
13	0.5626337342
14	0.5562988022
15	0.5498391381
16	0.5430704572
17	0.5371695337
18	0.5315614838
19	0.5269614174
20	0.5210246583
21	0.516298951
22	0.5115135178
23	0.506918039
24	0.5031564297
25	0.4982658269
26	0.4948757302
27	0.489682992
28	0.4838646028
29	0.4813869282
30	0.4781377069
31	0.4746873217
32	0.4708816969
33	0.468135948
34	0.4653307761
35	0.4627217044
36	0.4602477519
37	0.4570556597
38	0.4541518535
39	0.4512949624
40	0.4491845158
41	0.4466963675
42	0.4429151525
43	0.4410171225
44	0.4391904174
45	0.4373539744
46	0.4349645903
47	0.4329086328
48	0.4307162145
49	0.4286776554
50	0.4269014144
51	0.4248359354
52	0.4229328417
53	0.4211783704
54	0.418995993
55	0.4169163182
56	0.4155257424
57	0.413824332
58	0.4122728423
59	0.4101628718
60	0.4082438512
61	0.406651895
62	0.4048988087
63	0.4036275982
64	0.4025426634
65	0.4012583824
66	0.3993750242
67	0.3972601198
68	0.3954898514
69	0.3941044692
70	0.3928645066
71	0.3913888429
72	0.3895853357
73	0.3882724036
74	0.3872488394
75	0.3859588455
76	0.3845522129
77	0.3835400746
78	0.3822724995
79	0.3809675309
80	0.3797482127
81	0.3787498805
82	0.3776597955
83	0.3766950483
84	0.3757580002
85	0.3743585087
86	0.3735527711
87	0.372436069
88	0.3711308407
89	0.3700099405
90	0.3691111515
91	0.3679320835
92	0.3670935398
93	0.3653274263
94	0.3644655116
95	0.3634170183
96	0.3623846683
97	0.3617376805
98	0.3608515725
99	0.3599827331
100	0.3593541608
101	0.3584761894
102	0.357785619
103	0.3567357407
104	0.3560113256
105	0.3551771316
106	0.3545228079
107	0.3534798327
108	0.3527960572
109	0.3520491366
110	0.3515127717
111	0.3505460336
112	0.3493905313
113	0.348625931
114	0.347999025
115	0.3474204624
116	0.3469198031
117	0.3456083858
118	0.3447233165
119	0.344192275
120	0.3433402714
121	0.34205361
122	0.341009726
123	0.3402398888
124	0.3394742498
125	0.338985341
126	0.3384936839
127	0.3378001705
128	0.3365905902
129	0.3356325947
130	0.3347740559
131	0.333644846
132	0.3328763505
133	0.3324782857
134	0.3314300737
135	0.3306166972
136	0.3300353863
137	0.329335078
138	0.3286743705
139	0.3282675416
140	0.3271514887
141	0.326341553
142	0.3252807033
143	0.3247881806
144	0.3235843566
145	0.3225032737
146	0.3213772016
147	0.3203611031
148	0.3198400158
149	0.3189594909
150	0.3181116638
151	0.3170278759
152	0.316278272
153	0.3157874589
154	0.315008533
155	0.3140639758
156	0.3132962594
157	0.3127844556
158	0.3120764219
159	0.3112524202
160	0.3108359183
161	0.3101511257
162	0.3093374679
163	0.3090341639
164	0.3086706796
165	0.3080363944
166	0.3072105966
167	0.3067493868
168	0.306099456
169	0.3057138125
170	0.305014651
171	0.3043849751
172	0.3038921495
173	0.3034753879
174	0.3030829495
175	0.3023535139
176	0.301979188
177	0.3015430155
178	0.3005975278
179	0.300252156
180	0.2994506382
181	0.2988521885
182	0.2981614882
183	0.2976102783
184	0.2972558395
185	0.2966383035
186	0.2958817315
187	0.2955586488
188	0.2947868424
189	0.2937496884
190	0.2929291707
191	0.2925608607
192	0.2919285664
193	0.2911765388
194	0.290363119
195	0.2899116471
196	0.2892022284
197	0.288744178
198	0.2881372456
199	0.2873057132
200	0.2867280162
201	0.2858809897
202	0.2853115375
203	0.2845585145
204	0.2838539214
205	0.2833648179
206	0.2829843679
207	0.282458996
208	0.2820951438
209	0.2817756532
210	0.2812513849
211	0.2808563065
212	0.280348874
213	0.2800865126
214	0.2795695802
215	0.2792668605
216	0.27868529
217	0.2780550081
218	0.2774833919
219	0.2768393254
220	0.2762270046
221	0.2757316472
222	0.2754320004
223	0.2750622189
224	0.2747264984
225	0.2739863944
226	0.2734110994
227	0.2727227362
228	0.2724133731
229	0.271371718
230	0.2707723811
231	0.2704378076
232	0.2699625319
233	0.2691359768
234	0.2685205831
235	0.2680184091
236	0.2675285914
237	0.2670857105
238	0.2664742337
239	0.2662026538
240	0.26559808
241	0.2649706979
242	0.2645008322
243	0.2641081774
244	0.2637250008
245	0.2632831154
246	0.2630257744
247	0.2627466206
248	0.2622267019
249	0.2617213901
250	0.2612264005
251	0.260970293
252	0.2601829059
253	0.2596731363
254	0.2592776251
255	0.2587628134
256	0.2584347102
257	0.2580366887
258	0.2574953682
259	0.2567799552
260	0.2562267761
261	0.2557658044
262	0.2554965615
263	0.2552066743
264	0.254837542
265	0.2544745554
266	0.2540740669
267	0.2536132683
268	0.2529484276
269	0.2522274748
270	0.2518343223
271	0.2513300276
272	0.2509417224
273	0.2506117798
274	0.2502694592
275	0.2500602237
276	0.249600269
277	0.2493874628
278	0.2488858081
279	0.2486094674
280	0.2480486278
281	0.2477206978
282	0.2472699616
283	0.2471153666
284	0.2465850825
285	0.2462163397
286	0.2457976738
287	0.2452478921
288	0.2447131285
289	0.2444075091
290	0.2442047871
291	0.2435964913
292	0.2433144377
293	0.2427437736
294	0.2423521575
295	0.2421377933
296	0.2417954078
297	0.2415310989
298	0.2411940801
299	0.24084464
300	0.2401875464
301	0.2399603714
302	0.2396362932
303	0.2392439414
304	0.2389661941
305	0.2387677784
306	0.2383602138
307	0.2381660179
308	0.2379679701
309	0.2374335744
310	0.2371099073
311	0.2369915158
312	0.2367073848
313	0.2364792793
314	0.2361341455
315	0.2358925151
316	0.2355931929
317	0.2351275469
318	0.2346045337
319	0.2341766925
320	0.2338979065
321	0.233539183
322	0.2330424622
323	0.2328529405
324	0.2325270446
325	0.2321445389
326	0.2317615354
327	0.2314637929
328	0.2310448457
329	0.2308275818
330	0.2302728446
331	0.2299519258
332	0.2298026326
333	0.2295491219
334	0.2291486768
335	0.228948227
336	0.228704584
337	0.2284535836
338	0.2279713831
339	0.2276206014
340	0.2268511538
341	0.2265523293
342	0.2261173686
343	0.2259949953
344	0.2257509845
345	0.2254219075
346	0.2250866199
347	0.2246444099
348	0.2240816011
349	0.2238431733
350	0.2232822688
351	0.2231193425
352	0.2228705709
353	0.2226838408
354	0.222473956
355	0.2221473027
356	0.2217772832
357	0.2215503246
358	0.2212766023
359	0.2206941012
360	0.2204341202
361	0.2201834011
362	0.2199120592
363	0.2195534222
364	0.2193551364
365	0.2190686249
366	0.2186882399
367	0.2183972274
368	0.2180716128
369	0.2179237911
370	0.217511206
371	0.2171798784
372	0.2168779811
373	0.2167326047
374	0.216377192
375	0.2158939096
376	0.2157672949
377	0.2155978983
378	0.2151977128
379	0.2146502466
380	0.2142978851
381	0.2140589164
382	0.2136711955
383	0.213407579
384	0.2129135632
385	0.2126084632
386	0.2124316441
387	0.2120689172
388	0.2115524176
389	0.2114336365
390	0.2109820997
391	0.2107804814
392	0.2104847297
393	0.2101374969
394	0.209894698
395	0.2097779943
396	0.2095819807
397	0.2094089269
398	0.2092444642
399	0.2090660005
400	0.2087046368
401	0.2085928887
402	0.2083072429
403	0.2079449704
404	0.2075960064
405	0.2072934815
406	0.2067761813
407	0.2065814444
408	0.2063602636
409	0.2060714151
410	0.2059161926
411	0.2054367404
412	0.2052023593
413	0.2049316017
414	0.204557081
415	0.2042609615
416	0.2040020193
417	0.2037979123
418	0.2036236684
419	0.2034201674
420	0.2030835597
421	0.2028169137
422	0.2027008592
423	0.20250266
424	0.2023556606
425	0.2019580286
426	0.2015950203
427	0.2013435655
428	0.2011320577
429	0.2007701964
430	0.2003481547
431	0.1997989789
432	0.1995817582
433	0.1993935782
434	0.1990563647
